cpu_thermal,sbs-1-000b,sbs-1-000b/current_now,CROS_USB_PD_CHARGER0/voltage_now,sbs-1-000b/voltage_now,sbs-1-000b/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,cpu2/scaling_cur_freq,cpu3/scaling_cur_freq,
47068,26200,-531000,0,11790000,64,1703000,1703000,2106000,2106000,
49882,26200,-504000,0,11761000,64,1703000,1703000,2106000,2106000,
47185,26200,-538000,0,11786000,64,1703000,1703000,2106000,2106000,
46950,26200,-511000,0,11795000,64,1703000,1703000,2106000,2106000,
45778,26200,-514000,0,11795000,64,1703000,1703000,2106000,2106000,
46130,26200,-474000,0,11788000,64,1703000,1703000,2106000,2106000,
46247,26200,-527000,0,11792000,64,1703000,1703000,2106000,2106000,
45309,26200,-462000,0,11806000,64,1703000,1703000,2106000,2106000,
46012,26200,-520000,0,11782000,64,1703000,1703000,2106000,2106000,
47185,26200,-557000,0,11787000,64,1703000,1703000,2106000,2106000,
45543,26200,-463000,0,11810000,64,1703000,1703000,2106000,2106000,
42378,26200,-377000,0,11832000,64,507000,507000,507000,507000,
47888,26200,-611000,0,11757000,64,702000,702000,2106000,2106000,
46833,26200,-549000,0,11790000,64,1703000,1703000,2106000,2106000,
46716,26200,-562000,0,11787000,64,1703000,1703000,2106000,2106000,
46599,26200,-525000,0,11786000,64,1703000,1703000,2106000,2106000,
46716,26200,-610000,0,11760000,64,1703000,1703000,2106000,2106000,
44019,26200,-462000,0,11798000,64,507000,507000,1001000,1001000,
43316,26200,-506000,0,11789000,64,1105000,1105000,507000,507000,
42612,26200,-457000,0,11798000,64,1105000,1105000,1001000,1001000,
42612,26200,-461000,0,11795000,64,1001000,1001000,507000,507000,
42378,26200,-482000,0,11805000,64,1001000,1001000,507000,507000,
42378,26200,-428000,0,11802000,64,1001000,1001000,507000,507000,
42143,26200,-426000,0,11801000,64,1001000,1001000,507000,507000,
41909,26200,-426000,0,11802000,64,1001000,1001000,2106000,2106000,
41791,26200,-429000,0,11804000,64,1001000,1001000,507000,507000,
41557,26200,-455000,0,11798000,64,1001000,1001000,702000,702000,
41557,26200,-423000,0,11809000,64,507000,507000,1001000,1001000,
41674,26200,-423000,0,11804000,64,507000,507000,702000,702000,
41557,26200,-413000,0,11809000,64,1703000,1703000,1001000,1001000,
40971,26200,-431000,0,11806000,64,1105000,1105000,702000,702000,
41791,26200,-435000,0,11812000,64,1001000,1001000,507000,507000,
41557,26200,-422000,0,11811000,64,1105000,1105000,507000,507000,
41440,26200,-422000,0,11807000,64,507000,507000,1001000,1001000,
41205,26200,-431000,0,11804000,64,702000,702000,702000,702000,
41322,26200,-421000,0,11817000,64,1001000,1001000,507000,507000,
40971,26200,-422000,0,11815000,64,1001000,1001000,702000,702000,
40971,26200,-422000,0,11818000,64,1209000,1209000,507000,507000,
41088,26200,-427000,0,11806000,64,507000,507000,702000,702000,
41088,26300,-420000,0,11816000,64,1105000,1105000,507000,507000,
40853,26300,-428000,0,11811000,64,1001000,1001000,507000,507000,
40853,26200,-426000,0,11810000,64,507000,507000,1001000,1001000,
40853,26200,-420000,0,11815000,64,507000,507000,1001000,1001000,
40736,26300,-418000,0,11819000,64,1001000,1001000,507000,507000,
40736,26300,-418000,0,11819000,64,1703000,1703000,702000,702000,
40971,26300,-449000,0,11815000,64,507000,507000,702000,702000,
40971,26300,-420000,0,11818000,64,702000,702000,1001000,1001000,
40971,26300,-426000,0,11812000,64,1001000,1001000,702000,702000,
40971,26300,-420000,0,11815000,64,1703000,1703000,2106000,2106000,
44019,26300,-544000,0,11776000,64,1703000,1703000,2106000,2106000,
44488,26300,-523000,0,11780000,64,1703000,1703000,2106000,2106000,
43316,26300,-488000,0,11792000,64,1703000,1703000,2106000,2106000,
43785,26300,-523000,0,11775000,64,1703000,1703000,2106000,2106000,
44254,26300,-515000,0,11794000,64,1703000,1703000,2106000,2106000,
44136,26300,-481000,0,11789000,64,1703000,1703000,2106000,2106000,
44136,26300,-523000,0,11788000,64,1703000,1703000,2106000,2106000,
44723,26300,-529000,0,11784000,64,1703000,1703000,2106000,2106000,
47068,26300,-566000,0,11761000,64,1703000,1703000,2106000,2106000,
47068,26300,-533000,0,11800000,64,1703000,1703000,2106000,2106000,
