INT3400 Thermal,TSR0,TSR1,TSR2,B0DB,soc_dts0,soc_dts1,BAT0/current_now,BAT0/voltage_now,BAT0/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,
20000,26800,23800,24800,40000,30000,34000,561000,11565000,57,2582300,2582234,
20000,26800,23800,24800,37000,31000,34000,498000,11578000,57,2582300,2582300,
20000,26800,23800,24800,39000,30000,34000,486000,11614000,57,2582300,2582300,
20000,26800,23800,24800,41000,31000,35000,585000,11577000,57,2582300,2582300,
20000,26800,23800,24800,39000,32000,35000,591000,11561000,57,2582300,2582300,
20000,26800,23800,24800,34000,31000,35000,355000,11614000,57,2582300,2582300,
20000,26800,23800,24800,34000,30000,33000,390000,11621000,57,2582300,2582495,
20000,26800,23800,24800,33000,30000,34000,344000,11621000,57,2582300,2582234,
20000,26800,23800,24800,40000,31000,-38000,509000,11587000,57,2582300,2582234,
20000,26800,23800,24800,40000,32000,36000,562000,11526000,57,2582300,2582300,
20000,26800,23800,24800,42000,32000,35000,567000,11552000,57,2582234,2582300,
20000,26800,23800,24800,36000,31000,34000,524000,11603000,57,2582300,2582300,
20000,27800,24800,24800,41000,32000,34000,519000,11568000,57,2582300,2582300,
20000,27800,24800,24800,42000,32000,36000,546000,11558000,57,2582300,2582234,
20000,27800,23800,24800,43000,33000,37000,620000,11538000,57,2582234,2582300,
20000,27800,24800,24800,43000,33000,38000,629000,11532000,57,2582234,2582300,
20000,27800,24800,24800,43000,33000,37000,584000,11561000,57,2582300,2582300,
20000,27800,24800,24800,43000,33000,37000,582000,11560000,57,2582300,2582300,
20000,27800,23800,24800,43000,33000,37000,613000,11540000,57,2582234,2582300,
20000,27800,24800,24800,43000,34000,37000,571000,11532000,57,2582300,2582300,
20000,27800,24800,24800,43000,34000,37000,573000,11562000,57,2582234,2582300,
20000,27800,24800,24800,44000,34000,37000,577000,11541000,57,2582300,2582234,
20000,27800,23800,24800,43000,34000,38000,590000,11524000,57,2582234,2582300,
20000,27800,24800,24800,43000,34000,38000,571000,11552000,57,2582234,2582300,
20000,27800,24800,24800,43000,34000,38000,570000,11547000,57,2582234,2582300,
20000,27800,24800,24800,43000,34000,38000,567000,11535000,57,2582300,2582300,
20000,27800,24800,24800,44000,34000,38000,570000,11557000,57,2582300,2582300,
20000,27800,24800,24800,44000,34000,38000,571000,11560000,57,2582300,2582300,
20000,28800,24800,24800,44000,34000,38000,570000,11527000,57,2582300,2582300,
20000,28800,24800,24800,44000,34000,38000,573000,11553000,57,2582300,2582234,
20000,28800,24800,24800,44000,34000,38000,570000,11543000,57,2582300,2582300,
20000,28800,24800,25800,44000,34000,38000,568000,11540000,57,2582234,2582300,
20000,28800,24800,25800,44000,34000,38000,566000,11535000,57,2582300,2582300,
20000,28800,24800,24800,44000,34000,38000,566000,11559000,57,2582234,2582300,
20000,28800,24800,25800,44000,34000,38000,570000,11527000,57,2582300,2582300,
20000,28800,24800,25800,44000,35000,38000,568000,11527000,57,2582300,2582300,
20000,28800,24800,25800,44000,35000,39000,567000,11555000,57,2582300,2582300,
20000,28800,24800,25800,44000,34000,38000,588000,11534000,57,2582300,2582300,
20000,28800,24800,25800,44000,35000,39000,571000,11536000,57,2582300,2582300,
20000,28800,24800,25800,44000,35000,39000,582000,11557000,57,2582300,2582300,
20000,28800,24800,25800,44000,35000,39000,566000,11554000,57,2582300,2582300,
20000,28800,24800,25800,44000,35000,39000,572000,11526000,57,2582300,2582300,
20000,28800,24800,25800,44000,35000,39000,570000,11559000,57,2582300,2582234,
20000,28800,24800,25800,44000,35000,39000,572000,11527000,57,2582300,2582300,
20000,28800,24800,25800,45000,35000,39000,578000,11528000,57,2582300,2582300,
20000,28800,24800,25800,44000,35000,39000,570000,11542000,57,2582300,2582300,
20000,28800,24800,25800,44000,35000,39000,568000,11541000,57,2582300,2582300,
20000,28800,24800,25800,45000,35000,39000,574000,11523000,57,2582300,2582300,
20000,28800,24800,25800,45000,35000,39000,597000,11553000,57,2582300,2582300,
20000,29800,24800,25800,45000,35000,39000,570000,11548000,57,2582300,2582300,
20000,29800,24800,25800,45000,35000,39000,567000,11529000,57,2582365,2582300,
20000,29800,24800,25800,45000,35000,39000,571000,11541000,57,2582300,2582300,
20000,29800,24800,25800,45000,35000,39000,589000,11535000,57,2582300,2582300,
20000,29800,24800,25800,45000,36000,40000,609000,11527000,57,2582300,2582300,
20000,29800,24800,25800,45000,35000,39000,572000,11521000,57,2582300,2582300,
20000,29800,24800,25800,45000,35000,39000,568000,11545000,57,2582300,2582300,
20000,29800,24800,25800,45000,36000,39000,574000,11529000,57,2582300,2582300,
20000,29800,25800,25800,45000,36000,39000,580000,11540000,57,2582300,2582300,
20000,29800,24800,26800,45000,35000,39000,572000,11532000,57,2582300,2582300,
20000,29800,24800,26800,45000,36000,39000,570000,11530000,57,2582300,2582300,
20000,29800,25800,26800,45000,35000,39000,571000,11526000,57,2582234,2582300,
20000,29800,25800,26800,45000,36000,39000,573000,11540000,57,2582300,2582234,
20000,29800,25800,26800,45000,36000,39000,576000,11522000,57,2582300,2582234,
20000,29800,24800,26800,45000,36000,39000,571000,11512000,57,2582300,2582300,
20000,29800,25800,26800,45000,36000,39000,567000,11534000,57,2582300,2582300,
20000,29800,25800,26800,47000,36000,40000,668000,11502000,57,2582300,2582234,
20000,29800,25800,26800,47000,36000,41000,677000,11507000,57,2582300,2582300,
20000,29800,25800,26800,47000,37000,41000,679000,11497000,57,2582300,2582300,
20000,29800,25800,26800,46000,36000,40000,601000,11521000,57,2582300,2582300,
20000,29800,25800,26800,46000,36000,40000,595000,11498000,57,2582300,2582300,
20000,29800,25800,26800,47000,36000,40000,663000,11533000,57,2582300,2582234,
20000,29800,25800,26800,47000,37000,41000,683000,11500000,57,2582234,2582300,
20000,29800,25800,26800,48000,37000,42000,673000,11502000,57,2582300,2582300,
20000,29800,25800,26800,47000,37000,40000,637000,11512000,57,2582300,2582300,
20000,29800,25800,26800,47000,37000,40000,627000,11522000,57,2582300,2582300,
20000,30800,25800,26800,47000,37000,40000,591000,11515000,57,2582300,2582300,
